"m","estimate_cm","lower95_cm","median_cm","upper95_cm"
2893,414.600247934395,401.641089399983,413.884334293237,424.613908166362
3032,414.916119092079,401.868792613093,414.151387888862,425.045620665848
3177,415.225879821571,402.065200780248,414.441425896653,425.477267474938
3329,415.531171685271,402.244433293988,414.740991785633,425.905781898038
3488,415.831429224074,402.419876493909,415.034820420139,426.401753780792
3655,416.12792857641,402.592305057398,415.335364667608,426.837813551661
3830,416.420020099573,402.752886734677,415.640487524856,427.251455176964
4014,416.708704036669,402.894716336787,415.913854437811,427.624219157924
4206,416.99186840845,403.030359177891,416.164603732319,428.043725027654
4407,417.270564185603,403.179561905417,416.421664668239,428.472033269711
4618,417.545604557511,403.379159847711,416.671991946654,428.915792408818
4839,417.816413593254,403.581277211648,416.933597099675,429.345075933809
5071,418.083648534181,403.78012034484,417.178865149612,429.773808797095
5314,418.346750660247,403.962037285919,417.456220798064,430.242988699609
5568,418.605274356823,404.101914298166,417.683634559165,430.669379330577
5834,418.85980064974,404.266855034922,417.920894202102,431.12643704418
6114,419.111646684973,404.407048216981,418.167075743303,431.559342321388
6406,419.358526936774,404.571271250523,418.398400548497,432.02836271662
6713,419.602523139495,404.738003479503,418.625890108336,432.463182404585
7035,419.843059694213,404.893645114181,418.852476124244,432.84057961491
7371,420.078991274866,405.0569059637,419.069069624876,433.240393263023
7724,420.311993294555,405.217857446354,419.294927980136,433.655069343069
8094,420.541546025228,405.371932644799,419.535098977462,434.047295447566
8482,420.76779766869,405.516078501366,419.730321328847,434.458345478369
8888,420.990319101378,405.686416803548,419.907567276839,434.849374009161
9313,421.209271492658,405.857913608519,420.130900381739,435.266627465098
9759,421.425244892136,406.026988168809,420.329027754752,435.685992788574
10226,421.637801061143,406.193300298076,420.550512819433,436.064363236834
10716,421.847421358088,406.349706761254,420.757324349276,436.420299166466
11229,422.053686843748,406.457054377715,420.953393760907,436.815252516067
11766,422.256631701678,406.561910343422,421.125471835962,437.207769679452
12330,422.456966680609,406.66250273275,421.305118414504,437.576249368414
12920,422.653933430443,406.758713302631,421.515061048892,437.916922957884
13538,422.847851077599,406.833410430513,421.703200133788,438.247285852823
14186,423.038961613259,406.899350999376,421.887048777137,438.594978496266
14866,423.227442882562,406.965133759732,422.043386428464,438.933284949409
15577,423.412662172074,407.048892110751,422.218523362073,439.253662021264
16323,423.595312930772,407.131086802141,422.395725413755,439.611603545139
17104,423.775030951311,407.211568801903,422.567563815528,439.965744605547
17923,423.952156621784,407.281438462972,422.758988843783,440.316706011536
18781,424.126550924491,407.370792319874,422.936874827199,440.664164788126
19681,424.298469093918,407.468295258013,423.067063489001,441.008583023552
20623,424.467577047271,407.563862332732,423.246448854932,441.349242827352
21610,424.634101604935,407.657634215539,423.403289550261,441.686549903454
22645,424.798212800871,407.74971795071,423.567089525512,442.022078497158
23729,424.95974478976,407.840031773454,423.740839024739,442.360856230841
24865,425.118834471671,407.928663610784,423.869911082059,442.696435774265
26055,425.27545386219,408.015608937591,424.007169998941,443.028709000948
27302,425.429695318404,408.100598704205,424.15871019823,443.357823047281
28609,425.581624129321,408.186591656108,424.311663530693,443.72261401175
29979,425.731283945441,408.280790764499,424.452329967434,444.09754849962
31414,425.878601903155,408.373282448991,424.591131172843,444.469281053628
32918,426.023703168812,408.453710932307,424.712510264097,444.843748457444
34494,426.166590647548,408.521097565369,424.846363338234,445.21991599274
36146,426.307343102917,408.585081763627,424.967730077265,445.557640318519
37876,426.445859755316,408.65314006175,425.083723581028,445.870598136234
39689,426.582276736417,408.738902753824,425.1999567663,446.216134541586
41589,426.716625549288,408.818441645616,425.328347367018,446.478985509145
43580,426.848924731288,408.895962700821,425.456674289301,446.764164647817
45667,426.979243590344,408.963781470574,425.562140909345,447.055915067355
47853,427.10751599566,409.026412344955,425.671031410672,447.344790428775
50144,427.233846422838,409.083257664231,425.763908300506,447.632262931214
52545,427.358260350947,409.137609572663,425.870973412971,447.944753697915
55060,427.480724838101,409.19085750088,425.971040417459,448.243791149378
57696,427.60134304485,409.24869274865,426.083132846299,448.472679501199
60458,427.720106369708,409.309576544269,426.211146776374,448.743689448822
63353,427.837081606779,409.369336347737,426.333408586289,449.056135929963
66385,427.95220483747,409.427946777273,426.4379179314,449.344588733311
69564,428.065630156107,409.485493324235,426.540935776119,449.567793904337
72894,428.17727655345,409.541941742979,426.638447663566,449.805780218374
76384,428.287229717788,409.597342206425,426.736092274442,450.041268144036
80040,428.395465359771,409.651689170696,426.843369982246,450.274176222686
83872,428.502068528892,409.705031883006,426.938118212762,450.504658484015
87888,428.607049812912,409.757381942237,427.021645511265,450.745416709138
92095,428.710388967209,409.808735585804,427.09131893507,450.974612486038
96504,428.812156029505,409.859133828817,427.179273185482,451.171275313484
101124,428.912359005752,409.908586652435,427.281281519787,451.365653417801
105965,429.011019741021,409.957110784208,427.376529306035,451.55776875447
111038,429.108169783924,410.004727557301,427.44969110553,451.747662646382
116354,429.203829578721,410.051452683236,427.526113039906,451.935355245976
121925,429.298027418082,410.097305555804,427.621863166019,452.12088252732
127762,429.390765861765,410.142292923748,427.698016328888,452.304230067475
133878,429.482072226883,410.186433472244,427.776208118048,452.487765760414
140287,429.571977743496,410.22974759213,427.850918251079,452.705890282035
147003,429.660502957568,410.272250352215,427.946675087214,452.924464609718
154041,429.747672166207,410.313958483191,428.036525591475,453.142781333627
161416,429.833500571197,410.354884232295,428.117095735908,453.358930068484
169143,429.917996452523,410.39503646927,428.193780919521,453.572900880093
177241,430.00120284833,410.434440447155,428.263788855103,453.785367656653
185726,430.083121553695,410.473101713705,428.335743815111,454.006242776373
194618,430.163785892834,410.511040614088,428.410228958448,454.225007791068
203935,430.243201832875,410.548264483111,428.517242305816,454.441646397499
213698,430.321394160539,410.584789398335,428.572463812265,454.6561938643
223928,430.398378973778,410.620627245938,428.625333659318,454.868662404245
234649,430.474186266974,410.655796250408,428.695614789579,455.079103369356
245882,430.548816788643,410.690300952583,428.793305995417,455.287487576336
257654,430.622304530316,410.724161184382,428.865517273312,455.493878952327
269989,430.694655742292,410.757383851884,428.919308517912,455.698264485933
282914,430.765888418076,410.789981191592,428.988659759595,455.900664479451
296458,430.836023751601,410.82196678927,429.040876797225,456.101109040268
310651,430.905080069629,410.85335280248,429.099616146308,456.299620867809
325523,430.973068759713,410.884148142102,429.160538521491,456.496203219971
341107,431.040008443756,410.914364913302,429.23176402544,456.69088068029
357437,431.105914799501,410.944013788892,429.293374663995,456.883669918463
374549,431.170804700843,410.969835966028,429.345098103654,457.074591669677
392481,431.234695530172,410.993664890947,429.409026114693,457.263668807425
411270,431.297594916276,411.017026691676,429.474756479656,457.45089576442
430959,431.359524627689,411.039932968935,429.521900829989,457.63630944161
451591,431.420499062707,411.062392477852,429.573028583745,457.819925484088
473211,431.480532307902,411.084413768915,429.622952552414,458.001759092659
495865,431.539635402812,411.106004193705,429.673803824998,458.181816649239
519604,431.597826474158,411.127173607446,429.735801265278,458.360126600141
544480,431.655119481388,411.147930247265,429.784050747187,458.540055474765
570546,431.711525038794,411.16828106007,429.845877652352,458.73128266611
597861,431.767060984437,411.188235517506,429.893648308757,458.920781486087
626483,431.821737056937,411.20780009117,429.949457288018,459.094571853703
656475,431.875567344687,411.22423695321,430.001025994437,459.257606678159
687903,431.928565547678,411.23968734581,430.038461607284,459.419018662079
720836,431.980744786558,411.254820270446,430.083962301184,459.578824694809
755345,432.032116035558,411.269641832297,430.123511659918,459.737035512482
791507,432.082693912046,411.291158714054,430.187743587484,459.893673502262
829399,432.132487724426,411.321844958688,430.232859766532,460.048745068635
869106,432.181512311349,411.352018993882,430.293025044531,460.202274220913
910714,432.229778344621,411.380113328614,430.338233303325,460.354272441176
954313,432.277296405652,411.404705734529,430.386112102936,460.504751273311
1000000,432.324079781492,411.428868345689,430.432968174329,460.653731251207
