"18834,""spm"","""",""219974"",""12665"",""22648"",""Amer. Mus. Coll. No. 353"","""","""","""",""femur"","""",""1"",""table"","""",""least circumference"",""Apatosaurus excelsus"",""species"",""56547"",""recombined as"",""Brontosaurus excelsus"",""species"",""52982"",""154.8"",""145"",""13099""";
"18835,""spm"","""",""219974"",""12665"",""22648"",""Amer. Mus. Coll. No. 353"","""","""","""",""tibia"","""",""1"",""table"","""",""least circumference"",""Apatosaurus excelsus"",""species"",""56547"",""recombined as"",""Brontosaurus excelsus"",""species"",""52982"",""154.8"",""145"",""13099""";
"18872,""spm"","""",""148500"",""13664"",""13105"",""ASDM 500"",""holotype"","""",""left"",""tibia"","""",""1"",""text"","""",""midshaft width, least breadth circumference"",""Sonorasaurus thompsoni"",""species"",""68170"","""",""Sonorasaurus thompsoni"",""species"",""68170"",""106.2"",""93.9"",""19635""";
"18873,""spm"","""",""148500"",""13664"",""13105"",""ASDM 500"",""holotype"","""",""both"",""radius"","""",""1"",""text"","""",""least breadth circumference"",""Sonorasaurus thompsoni"",""species"",""68170"","""",""Sonorasaurus thompsoni"",""species"",""68170"",""106.2"",""93.9"",""19635""";
"18874,""spm"","""",""148500"",""13664"",""13105"",""ASDM 500"",""holotype"","""",""left"",""ulna"","""",""1"",""text"","""",""least breadth circumference"",""Sonorasaurus thompsoni"",""species"",""68170"","""",""Sonorasaurus thompsoni"",""species"",""68170"",""106.2"",""93.9"",""19635""";
"18875,""spm"","""",""148500"",""13664"",""13105"",""ASDM 500"",""holotype"","""","""",""fibula"","""",""1"",""text"","""",""least breadth circumference"",""Sonorasaurus thompsoni"",""species"",""68170"","""",""Sonorasaurus thompsoni"",""species"",""68170"",""106.2"",""93.9"",""19635""";
"18890,""spm"","""",""408400"",""0"",""13212"",""Yale Mus. No. 1905"",""holotype"","""","""",""scapula"","""",""1"",""table"","""","""",""Apatosaurus grandis"",""species"",""52961"",""recombined as"",""Camarasaurus grandis"",""species"",""52961"",""154.8"",""145"",""18056""";
"18891,""spm"","""",""408400"",""0"",""13212"",""Yale Mus. No. 1905"",""holotype"","""","""",""humerus"","""",""1"",""table"","""","""",""Apatosaurus grandis"",""species"",""52961"",""recombined as"",""Camarasaurus grandis"",""species"",""52961"",""154.8"",""145"",""18056""";
"18892,""spm"","""",""408400"",""0"",""13212"",""Yale Mus. No. 1905"",""holotype"","""","""",""ulna"","""",""1"",""table"","""","""",""Apatosaurus grandis"",""species"",""52961"",""recombined as"",""Camarasaurus grandis"",""species"",""52961"",""154.8"",""145"",""18056""";
"18893,""spm"","""",""408400"",""0"",""13212"",""Yale Mus. No. 1905"",""holotype"","""","""",""ischium"","""",""1"",""table"","""","""",""Apatosaurus grandis"",""species"",""52961"",""recombined as"",""Camarasaurus grandis"",""species"",""52961"",""154.8"",""145"",""18056""";
