"x","y"
119.814241486068,264.985163204748
119.814241486068,263.79821958457
119.814241486068,260.237388724036
119.814241486068,259.050445103858
119.814241486068,257.86350148368
119.814241486068,256.676557863501
119.814241486068,255.489614243323
119.814241486068,254.302670623145
119.814241486068,250.741839762611
119.814241486068,249.554896142433
119.814241486068,248.367952522255
121.052631578947,447.774480712166
121.052631578947,446.587537091988
121.052631578947,295.845697329377
121.052631578947,294.658753709199
121.052631578947,291.097922848665
121.052631578947,289.910979228487
121.052631578947,288.724035608309
121.052631578947,285.163204747774
121.052631578947,283.976261127596
121.052631578947,282.789317507418
121.052631578947,280.415430267062
121.052631578947,279.228486646884
121.052631578947,278.041543026706
121.052631578947,276.854599406528
121.052631578947,275.66765578635
121.052631578947,274.480712166172
121.052631578947,273.293768545994
121.052631578947,272.106824925816
121.052631578947,269.73293768546
121.052631578947,268.545994065282
121.052631578947,266.172106824926
121.052631578947,264.985163204748
121.052631578947,263.79821958457
121.052631578947,262.611275964392
121.052631578947,261.424332344214
121.052631578947,260.237388724036
121.052631578947,259.050445103858
121.052631578947,257.86350148368
121.052631578947,256.676557863501
121.052631578947,255.489614243323
121.052631578947,254.302670623145
121.052631578947,253.115727002967
121.052631578947,251.928783382789
121.052631578947,250.741839762611
121.052631578947,249.554896142433
121.052631578947,248.367952522255
122.291021671827,447.774480712166
122.291021671827,446.587537091988
122.291021671827,295.845697329377
122.291021671827,294.658753709199
122.291021671827,291.097922848665
122.291021671827,289.910979228487
122.291021671827,288.724035608309
122.291021671827,285.163204747774
122.291021671827,283.976261127596
122.291021671827,282.789317507418
122.291021671827,279.228486646884
122.291021671827,278.041543026706
122.291021671827,276.854599406528
122.291021671827,275.66765578635
122.291021671827,273.293768545994
122.291021671827,272.106824925816
122.291021671827,269.73293768546
122.291021671827,268.545994065282
122.291021671827,263.79821958457
122.291021671827,262.611275964392
122.291021671827,261.424332344214
122.291021671827,260.237388724036
122.291021671827,255.489614243323
122.291021671827,254.302670623145
122.291021671827,253.115727002967
122.291021671827,251.928783382789
122.291021671827,250.741839762611
122.291021671827,249.554896142433
123.529411764706,448.961424332344
123.529411764706,447.774480712166
123.529411764706,446.587537091988
124.767801857585,447.774480712166
124.767801857585,446.587537091988
126.006191950464,447.774480712166
126.006191950464,446.587537091988
126.006191950464,108.308605341246
126.006191950464,107.121661721068
127.244582043344,447.774480712166
127.244582043344,446.587537091988
127.244582043344,134.421364985163
127.244582043344,133.234421364985
127.244582043344,109.495548961424
127.244582043344,108.308605341246
127.244582043344,107.121661721068
128.482972136223,447.774480712166
128.482972136223,446.587537091988
128.482972136223,438.278931750742
128.482972136223,437.091988130564
128.482972136223,435.905044510386
128.482972136223,431.157270029674
128.482972136223,429.970326409496
128.482972136223,428.783382789317
128.482972136223,422.848664688427
128.482972136223,421.661721068249
128.482972136223,415.727002967359
128.482972136223,414.540059347181
128.482972136223,413.353115727003
128.482972136223,408.605341246291
128.482972136223,407.418397626113
128.482972136223,406.231454005935
128.482972136223,401.483679525223
128.482972136223,400.296735905045
128.482972136223,399.109792284866
128.482972136223,393.175074183976
128.482972136223,391.988130563798
128.482972136223,390.80118694362
128.482972136223,386.053412462908
128.482972136223,384.86646884273
128.482972136223,383.679525222552
128.482972136223,378.93175074184
128.482972136223,377.744807121662
128.482972136223,376.557863501484
128.482972136223,370.623145400594
128.482972136223,369.436201780415
128.482972136223,363.501483679525
128.482972136223,362.314540059347
128.482972136223,361.127596439169
128.482972136223,356.379821958457
128.482972136223,355.192878338279
128.482972136223,354.005934718101
128.482972136223,349.258160237389
128.482972136223,348.071216617211
128.482972136223,346.884272997033
128.482972136223,340.949554896142
128.482972136223,339.762611275964
128.482972136223,333.827893175074
128.482972136223,332.640949554896
128.482972136223,331.454005934718
128.482972136223,326.706231454006
128.482972136223,325.519287833828
128.482972136223,324.33234421365
128.482972136223,319.584569732938
128.482972136223,318.39762611276
128.482972136223,317.210682492582
128.482972136223,311.275964391691
128.482972136223,310.089020771513
128.482972136223,308.902077151335
128.482972136223,304.154302670623
128.482972136223,302.967359050445
128.482972136223,301.780415430267
128.482972136223,297.032640949555
128.482972136223,295.845697329377
128.482972136223,294.658753709199
128.482972136223,288.724035608309
128.482972136223,287.537091988131
128.482972136223,286.350148367953
128.482972136223,281.60237388724
128.482972136223,280.415430267062
128.482972136223,279.228486646884
128.482972136223,274.480712166172
128.482972136223,273.293768545994
128.482972136223,272.106824925816
128.482972136223,266.172106824926
128.482972136223,264.985163204748
128.482972136223,259.050445103858
128.482972136223,257.86350148368
128.482972136223,256.676557863501
128.482972136223,251.928783382789
128.482972136223,250.741839762611
128.482972136223,249.554896142433
128.482972136223,244.807121661721
128.482972136223,243.620178041543
128.482972136223,242.433234421365
128.482972136223,236.498516320475
128.482972136223,235.311572700297
128.482972136223,229.376854599407
128.482972136223,228.189910979229
128.482972136223,227.00296735905
128.482972136223,222.255192878338
128.482972136223,221.06824925816
128.482972136223,219.881305637982
128.482972136223,213.946587537092
128.482972136223,212.759643916914
128.482972136223,206.824925816024
128.482972136223,205.637982195846
128.482972136223,199.703264094956
128.482972136223,198.516320474777
128.482972136223,197.329376854599
128.482972136223,192.581602373887
128.482972136223,191.394658753709
128.482972136223,190.207715133531
128.482972136223,184.272997032641
128.482972136223,183.086053412463
128.482972136223,177.151335311573
128.482972136223,175.964391691395
128.482972136223,174.777448071217
128.482972136223,170.029673590504
128.482972136223,168.842729970326
128.482972136223,167.655786350148
128.482972136223,161.721068249258
128.482972136223,160.53412462908
128.482972136223,154.59940652819
128.482972136223,153.412462908012
128.482972136223,152.225519287834
128.482972136223,147.477744807122
128.482972136223,146.290801186944
128.482972136223,145.103857566766
128.482972136223,140.356083086053
128.482972136223,139.169139465875
128.482972136223,137.982195845697
128.482972136223,135.608308605341
128.482972136223,134.421364985163
128.482972136223,132.047477744807
128.482972136223,130.860534124629
128.482972136223,129.673590504451
128.482972136223,124.925816023739
128.482972136223,123.738872403561
128.482972136223,122.551928783383
128.482972136223,117.804154302671
128.482972136223,116.617210682493
128.482972136223,115.430267062315
128.482972136223,109.495548961424
128.482972136223,108.308605341246
128.482972136223,107.121661721068
128.482972136223,105.93471810089
129.721362229102,447.774480712166
129.721362229102,446.587537091988
129.721362229102,192.581602373887
129.721362229102,191.394658753709
129.721362229102,190.207715133531
129.721362229102,154.59940652819
129.721362229102,153.412462908012
129.721362229102,147.477744807122
129.721362229102,146.290801186944
129.721362229102,145.103857566766
129.721362229102,139.169139465875
129.721362229102,137.982195845697
129.721362229102,135.608308605341
129.721362229102,132.047477744807
129.721362229102,130.860534124629
129.721362229102,124.925816023739
129.721362229102,123.738872403561
129.721362229102,122.551928783383
129.721362229102,116.617210682493
129.721362229102,115.430267062315
129.721362229102,109.495548961424
129.721362229102,108.308605341246
129.721362229102,107.121661721068
129.721362229102,105.93471810089
130.959752321981,448.961424332344
130.959752321981,447.774480712166
130.959752321981,446.587537091988
130.959752321981,137.982195845697
130.959752321981,110.682492581602
130.959752321981,109.495548961424
130.959752321981,108.308605341246
130.959752321981,107.121661721068
130.959752321981,105.93471810089
130.959752321981,104.747774480712
132.198142414861,447.774480712166
132.198142414861,446.587537091988
132.198142414861,140.356083086053
132.198142414861,139.169139465875
132.198142414861,137.982195845697
132.198142414861,110.682492581602
132.198142414861,109.495548961424
132.198142414861,108.308605341246
132.198142414861,107.121661721068
132.198142414861,105.93471810089
132.198142414861,104.747774480712
133.43653250774,447.774480712166
133.43653250774,446.587537091988
133.43653250774,140.356083086053
133.43653250774,139.169139465875
134.674922600619,447.774480712166
134.674922600619,446.587537091988
134.674922600619,142.72997032641
134.674922600619,141.543026706231
135.913312693498,447.774480712166
135.913312693498,446.587537091988
135.913312693498,143.916913946588
135.913312693498,142.72997032641
137.151702786378,447.774480712166
137.151702786378,446.587537091988
137.151702786378,146.290801186944
137.151702786378,108.308605341246
137.151702786378,107.121661721068
138.390092879257,447.774480712166
138.390092879257,446.587537091988
138.390092879257,147.477744807122
138.390092879257,146.290801186944
138.390092879257,108.308605341246
138.390092879257,107.121661721068
139.628482972136,447.774480712166
139.628482972136,446.587537091988
139.628482972136,148.6646884273
139.628482972136,147.477744807122
140.866873065015,447.774480712166
140.866873065015,446.587537091988
140.866873065015,149.851632047478
142.105263157895,447.774480712166
142.105263157895,446.587537091988
142.105263157895,152.225519287834
142.105263157895,151.038575667656
142.105263157895,149.851632047478
143.343653250774,447.774480712166
143.343653250774,446.587537091988
143.343653250774,152.225519287834
144.582043343653,447.774480712166
144.582043343653,446.587537091988
144.582043343653,154.59940652819
