"mass_t","estimate","lower95","upper95"
1.01360803356676,0.0092002074067115,0.00702119415840921,0.0117445346897456
1.04658193924466,0.00894246017780801,0.0068065784905769,0.0114527768259502
1.08062852629411,0.00868993417266273,0.0065911957966799,0.0111576999211759
1.11578269034852,0.00844256478547294,0.00638654752316307,0.0108700751305814
1.15208046223883,0.00820028769224221,0.00618105654913612,0.0105923165520393
1.18955904492285,0.00796303885184602,0.00597531999014698,0.0103107205133975
1.228256851616,0.00773075450711016,0.00577430421040428,0.0100222548987707
1.26821354516243,0.00750337118590234,0.00557671548541232,0.0097470637480433
1.30947007868701,0.00728082570223706,0.00538963797639672,0.00948245075437864
1.3520687375697,0.00706305515739425,0.00520991214106619,0.00922132087518232
1.39605318278545,0.00684999694105182,0.0050337657967516,0.00896728037380173
1.441468495654,0.00664158873243244,0.00486997149177724,0.0087031890890664
1.48836122404538,0.00643776850146488,0.0046954834085589,0.00846386203788579
1.53677943008862,0.00623847450996019,0.00452569835082946,0.00822891048641313
1.58677273943245,0.00604364531280317,0.00437257478421745,0.00799534202067546
1.63839239210844,0.00585321975915919,0.0042270353696533,0.0077634818832889
1.69169129504894,0.00566713699369705,0.00408167001725037,0.00753593978199629
1.7467240763133,0.00548533645782788,0.00393370864823288,0.00731464991880308
1.80354714107829,0.00530775789096077,0.00378558410310947,0.0070978832603661
1.86221872944988,0.0051343413317753,0.00364478410357352,0.00688539010003351
1.92279897615574,0.0049650271195114,0.00350114464021656,0.00667481646787507
1.98534997217954,0.00479975589527698,0.00337083771362612,0.00646916349734383
2.04993582840043,0.00463846860337377,0.00324587561062538,0.00626775497811896
2.11662274130263,0.00448110649264167,0.00310853747209057,0.00607336976537514
2.18547906082274,0.00432761111782218,0.00298044278325303,0.00588878651544417
2.25657536040416,0.00417792434094136,0.00286122649092101,0.00570325877145539
2.32998450933052,0.00403198833271269,0.00274990003453666,0.00551514284377274
2.40578174741208,0.00388974557396049,0.00263336518906758,0.00533124953391966
2.48404476210194,0.00375113885706418,0.00251978504097473,0.00515165634638648
2.56485376812078,0.00361611128742417,0.00241219716031522,0.00497989578803337
2.64829158967201,0.00348460628494968,0.00231369599363977,0.00481499763004142
2.73444374533138,0.00335656758556923,0.00221537522506957,0.00464943970199358
2.82339853569824,0.00323193924276428,0.00211913636779628,0.00449440704840756
2.91524713389813,0.0031106656291267,0.00201555132695834,0.00434838988358891
3.01008367902956,0.00299269143794062,0.00191825753262698,0.00419336725187802
3.10800537265077,0.00287796168478938,0.00182981772390525,0.00403860768592469
3.20911257840523,0.00276642170918818,0.00173945878975962,0.00390018906190614
3.31350892488816,0.00265801717624333,0.00165727372095771,0.00376817788114695
3.42130141185937,0.00255269407833844,0.00156985259927714,0.0036303857404618
3.53260051991138,0.00245039873684877,0.00147985009068961,0.00349765149405653
3.64752032370515,0.00235107780388422,0.00139841715838685,0.00337144584324543
