"dataset","m","estimate_t","lower95_t","median_t","upper95_t"
"Late-Quaternary fauna",391,3.41619042131087,2.45572437565358,3.40577861675996,4.57184121811572
"Late-Quaternary fauna",409,3.53868130389338,2.54012040613538,3.52587684773532,4.72705367592568
"Late-Quaternary fauna",427,3.65847989594549,2.62284183706084,3.64939332900348,4.88902606148664
"Late-Quaternary fauna",445,3.77570867840799,2.70591645489281,3.7650622287808,5.04231452726031
"Late-Quaternary fauna",465,3.90308778598115,2.79640165485766,3.89229163591047,5.21160709508374
"Late-Quaternary fauna",485,4.0275815159307,2.8734532384497,4.01026558780171,5.37735692177017
"Late-Quaternary fauna",506,4.15534302474847,2.95314279123131,4.13387826552035,5.55801688393083
"Late-Quaternary fauna",529,4.29196658409675,3.04120706292097,4.27028075098179,5.75027472590365
"Late-Quaternary fauna",552,4.425306268148,3.13067357725417,4.40198931681693,5.94490533905157
"Late-Quaternary fauna",576,4.56111942887413,3.21246045492079,4.536484204693,6.14598765646401
"Late-Quaternary fauna",601,4.69916451800639,3.3044559620806,4.67252789108844,6.34659944211572
"Late-Quaternary fauna",628,4.84452939770516,3.39318977832678,4.81442500189772,6.56276546158251
"Late-Quaternary fauna",655,4.98622995110848,3.46762778929831,4.95676426354225,6.76135912004075
"Late-Quaternary fauna",684,5.13456344887845,3.55744295470631,5.10603594347824,6.97195794891704
"Late-Quaternary fauna",714,5.2840273619029,3.64471771116584,5.25125791701463,7.19821961218631
"Late-Quaternary fauna",745,5.43444857103871,3.73701373554614,5.39990037883492,7.42969094303483
"Late-Quaternary fauna",778,5.59032718903075,3.83047401984784,5.54971468091554,7.66371523358223
"Late-Quaternary fauna",812,5.74660370419161,3.91748093989868,5.70449112713882,7.91492615147039
"Late-Quaternary fauna",848,5.90755909987662,4.02201387295613,5.85833978172145,8.16559104366683
"Late-Quaternary fauna",885,6.06842334727396,4.10175452300463,6.01859918950643,8.41622106670152
"Late-Quaternary fauna",924,6.2332657919256,4.18795707767968,6.18117278320067,8.68752871626402
"Late-Quaternary fauna",964,6.39759700256804,4.28226941465087,6.34325379552086,8.96817217321662
"Late-Quaternary fauna",1006,6.56528260257314,4.36007583017973,6.50113304056045,9.25006287428801
"Late-Quaternary fauna",1051,6.73974607126987,4.46775582099539,6.66586141791576,9.51230606224487
"Late-Quaternary fauna",1097,6.91286030000933,4.57142023986325,6.84520798672678,9.80449338790263
"Late-Quaternary fauna",1145,7.08820915915589,4.67265327115558,7.01656005272726,10.101006719408
"Late-Quaternary fauna",1195,7.26546538696948,4.76498249904277,7.19060374453717,10.3464176899444
"Late-Quaternary fauna",1247,7.44432429890929,4.87275502475909,7.36236054539867,10.6709403513211
"Late-Quaternary fauna",1302,7.62778854650934,4.98647641521279,7.53621911243937,10.9773021266146
"Late-Quaternary fauna",1359,7.81211150042764,5.0830339995017,7.73284643455138,11.3317305817782
"Late-Quaternary fauna",1419,8.00014587447855,5.18679840944318,7.92937142024342,11.6853088620455
"Late-Quaternary fauna",1481,8.18840176754707,5.29036277801055,8.10997329328879,12.0564940530315
"Late-Quaternary fauna",1546,8.37958824079647,5.40322665240874,8.28833087304519,12.4047265283264
"Late-Quaternary fauna",1614,8.57326298932399,5.51441717736685,8.47671012762486,12.7529884721038
"Late-Quaternary fauna",1684,8.76630192461946,5.62049974600924,8.65929183607211,13.1039865913162
"Late-Quaternary fauna",1758,8.96383889717079,5.72954787804103,8.85974084365218,13.4788183105093
"Late-Quaternary fauna",1835,9.16271993042957,5.8424944148804,9.05672246336274,13.8507156883773
"Late-Quaternary fauna",1916,9.3650800280503,5.95494095377031,9.25290208623698,14.2320002981891
"Late-Quaternary fauna",2000,9.56800508871693,6.06165601264227,9.44618365650667,14.6249940206075
"Late-Quaternary fauna",2088,9.7735299858172,6.16607313144798,9.64770760032448,15.0265783612591
"Late-Quaternary fauna",2179,9.97896778600966,6.26087735549978,9.85281547464989,15.3973031696064
"Late-Quaternary fauna",2275,10.18840145394,6.36849754323574,10.0579595086058,15.803832737129
"Late-Quaternary fauna",2374,10.3970669793978,6.46074336826854,10.2638393688749,16.2806253849544
"Late-Quaternary fauna",2479,10.6108172120021,6.56394428372167,10.4672398802989,16.732340439346
"Late-Quaternary fauna",2587,10.823107558897,6.66506240185045,10.6687900713371,17.1585091694915
"Late-Quaternary fauna",2701,11.0394397994905,6.76646385768905,10.8800743611409,17.6558241071469
"Late-Quaternary fauna",2819,11.2555549251675,6.87615802566244,11.1001020320654,18.1674484864994
"Late-Quaternary fauna",2943,11.4746949042045,6.98545790619686,11.3103199518347,18.7283534586893
"Late-Quaternary fauna",3072,11.6946127851009,7.08720336071103,11.5288626566802,19.2238608653787
"Late-Quaternary fauna",3207,11.9165765659834,7.18665227920531,11.7445849825859,19.6827152509844
"Late-Quaternary fauna",3347,12.13854289381,7.27316930421891,11.9702989659281,20.1204330083939
"Late-Quaternary fauna",3494,12.3632378301131,7.37059610930801,12.1822790360976,20.5802265859961
"Late-Quaternary fauna",3647,12.5886433515012,7.484003560394,12.4133479280124,21.0445343419936
"Late-Quaternary fauna",3807,12.815788403066,7.59241113598589,12.6405712391884,21.5431711765911
"Late-Quaternary fauna",3974,13.0441915118421,7.69517821823629,12.8465623049121,22.1194420326121
"Late-Quaternary fauna",4148,13.2734154214577,7.79595088677167,13.0697032079087,22.7112272272939
"Late-Quaternary fauna",4330,13.5043097438973,7.89675624108233,13.2931063871223,23.3106104839349
"Late-Quaternary fauna",4520,13.7363794870605,7.99737577588638,13.5174669836426,23.8377447539209
"Late-Quaternary fauna",4718,13.969176109709,8.11267857925439,13.7455470956538,24.3253314462093
"Late-Quaternary fauna",4925,14.2034050567288,8.23892446641863,13.9693764844333,24.8587336968905
"Late-Quaternary fauna",5141,14.4385769892265,8.35633344987918,14.2020651750477,25.3985800829745
"Late-Quaternary fauna",5367,14.6752772777356,8.45420532712149,14.4252719624188,25.9570778284823
"Late-Quaternary fauna",5602,14.9120028452051,8.5487620190808,14.6699709018753,26.5288141232708
"Late-Quaternary fauna",5848,15.1503024799757,8.643184182957,14.9096185677284,27.109435985801
"Late-Quaternary fauna",6104,15.3887310099146,8.73690221132592,15.1388421496599,27.7487001841375
"Late-Quaternary fauna",6372,15.6286704329486,8.83235549462281,15.3666352788591,28.4404678602082
"Late-Quaternary fauna",6651,15.8687398010383,8.93750755887393,15.6060348338676,29.0888988686908
"Late-Quaternary fauna",6943,16.1101751213159,9.03691791403006,15.8293993731855,29.7550999636393
"Late-Quaternary fauna",7248,16.3524430478765,9.13415916869704,16.069675356522,30.4421146885213
"Late-Quaternary fauna",7565,16.5943162419029,9.22111642820158,16.27631721404,31.0206418903811
"Late-Quaternary fauna",7897,16.8376090724908,9.30782939715934,16.5081886459959,31.6152560571358
"Late-Quaternary fauna",8243,17.0810752230664,9.39385752073452,16.7044336757642,32.2586800509221
"Late-Quaternary fauna",8605,17.3256211637496,9.48559853852765,16.9469531554899,32.9964249697219
"Late-Quaternary fauna",8982,17.5700816150247,9.57835910715234,17.1727927696268,33.7572069863249
"Late-Quaternary fauna",9376,17.815278394234,9.66299830726171,17.3956098565101,34.5284920918772
"Late-Quaternary fauna",9787,18.0607120389636,9.74328343444135,17.6181434283463,35.2220075827309
"Late-Quaternary fauna",10217,18.3070594425314,9.83133840725407,17.8392496244287,35.9001323507438
"Late-Quaternary fauna",10665,18.5532498338552,9.92686660194836,18.0531183820716,36.5821499933462
"Late-Quaternary fauna",11132,18.7993902498366,10.0188640597344,18.2587389452632,37.3727804501698
"Late-Quaternary fauna",11620,19.0460461147027,10.1046933815896,18.5087328018402,38.2306522722498
"Late-Quaternary fauna",12130,19.2931946231363,10.1885525868167,18.7528875022745,39.0538521421646
"Late-Quaternary fauna",12662,19.540334964766,10.2717633204745,18.9946400614424,39.8312977665268
"Late-Quaternary fauna",13217,19.7874584277757,10.3577854223463,19.2333001744497,40.6355020225369
"Late-Quaternary fauna",13797,20.0349534868938,10.4383299334662,19.4462623219767,41.4426566812351
"Late-Quaternary fauna",14402,20.2823208283271,10.5413456404964,19.6869970330052,42.2133330619182
