ID,Sex,Year,OD,PA,SVL,BMI,mg_kg,OL
NASA5749,1,2012,121,9.646092846,87,0.215517241,0.1258,0
NASA5750,2,2012,121,22.48690355,157,0.200636943,0.1148,0
NASA5751,1,2012,125,15.16519638,109,0.197247706,0.1197,0
NASA5753,2,2012,125,17.77106833,142,0.214788732,0.2909,0
NASA5768,1,2012,163,14.83295933,108,0.199074074,0.1008,0
NASA5769,1,2012,163,13.60910488,104,0.197115385,0.0871,0
NASA5772,2,2012,205,9.148164536,95,0.210526316,0.0825,0
NASA5773,2,2012,205,8.87736196,93,0.198924731,0.0963,0
NASA5779,2,2012,229,14.97971523,130,0.211538462,0.3544,0
NASA5780,2,2012,230,32.07357206,174,0.212643678,0.0394,0
NASA5781,1,2012,233,10.87266989,93,0.220430108,0.1191,0
NASA5783,2,2012,265,24.1368056,161,0.195652174,0.0738,0
NASA5784,2,2012,279,9.35446396,96.5,0.21761658,0.2669,0
NASA5785,2,2012,307,29.70219298,171,0.228070175,0.2209,0
NASA5788,1,2012,312,13.75379431,104.5,0.205741627,0.144,0
NASA5790,2,2012,318,23.07897217,158.5,0.205047319,0.0823,0
NASA5791,1,2012,318,14.51196424,107,0.210280374,0.0874,0
NASA5793,2,2012,335,18.86048016,146,0.205479452,0.186,0
NASA5793,2,2014,157,20.37804136,144,0.184027778,0.2315,0
NASA5796,1,2012,342,22.49691656,124,0.201612903,0.1271,0
NASA5797,2,2012,356,28.3553636,169,0.224852071,0.159,0
NASA5799,1,2012,356,30.34836249,131,0.194656489,0.1539,0
NASA5807,2,2013,23,19.44386603,148,0.233108108,0.2063,0
NASA5808,2,2013,23,10.73218294,106,0.221698113,0.2213,0
NASA5814,1,2013,31,10.13936508,89.5,0.217877095,0.1477,0
NASA5815,1,2013,31,15.5095321,110,0.195454545,0.1915,0
NASA5818,1,2013,39,16.23844746,112,0.165178571,0.331,0
NASA5900,2,2014,31,18.57892467,145,0.210344828,0.1407,0
NASA5903,2,2014,31,12.77670646,118.5,0.202531646,0.1148,0
NASA5904,1,2014,31,15.16519638,109,0.211009174,0.0771,0
NASA5905,2,2014,37,18.1683639,143.5,0.212543554,0.2335,0
NASA5906,2,2014,37,14.36823258,127,0.196850394,0.1332,0
NASA5907,1,2014,48,10.76459873,92.5,0.210810811,0.1227,0
NASA5909,2,2014,59,19.74640422,149,0.204697987,0.2313,0
NASA5910,1,2014,59,25.07856448,127,0.153543307,0.4937,0
NASA5911,1,2014,59,25.07856448,127,0.188976378,0.4081,0
NASA5913,1,2014,100,21.77758494,123,0.227642276,0.1869,0
NASA5918,1,2014,107,20.48993924,121,0.169421488,0.384,0
NASA5919,2,2014,94,10.43110933,104,0.194711538,0.0619,0
NASA5932,2,2014,223,23.28309309,159,0.254716981,0.177,0
NASA5933,1,2014,223,10.87266989,93,0.209677419,0.2436,0
NASA5934,2,2014,276,9.42386007,97,0.206185567,0.156,0
NASA5935,1,2014,276,20.48993924,121,0.210743802,0.1635,0
NASA5941,2,2014,344,21.03852675,153,0.163398693,0.1787,0
NASA5945,2,2014,325,17.01282837,139,0.179856115,0.334,0
