,Route,Head.Length,SV.length,Total.Length,Tail.Girth,Neck.Girth,Chest.Girth,Weight,Sex,Deformities_Notes
3038,Lox_Marsh,22.9,80.1,164.2,30.2,NA,NA,11.5,F,Damaged tail scute #4 single.
3039,Lox_Marsh,29.5,109.4,213.7,37,NA,NA,27.5,F,None
3040,Lox_Marsh,19.5,68.4,136.9,25,NA,NA,6.3,F,None
3041,Lox_Marsh,21.9,78,157.2,29.6,NA,NA,10,M,"Seriously screwed up scutes. Fourth left double scute missing, 3rd double ??? To left"
3042,WCA3A-TW_Marsh,35,123.4,238.9,48.5,NA,NA,42,M,None
3043,WCA3A-TW_Marsh,24,88.4,164.5,33.6,NA,NA,13.6,M,Incomplete tail
3044,Lox_Marsh,18.6,61.2,125.6,22.7,NA,NA,5,M,4th left double scute has a slight notch in it.
3045,Lox_Marsh,29.5,108.8,221,35.9,NA,NA,25.5,F,None
3046,Lox_Marsh,26.3,95.3,187,34.7,NA,NA,17.5,F,None
3047,Lox_Marsh,18.1,63.5,129.1,23.5,NA,NA,5.8,M,None
3048,Lox_Marsh,26,96.2,187.8,35.6,NA,NA,17.5,M,6th double scute partially removed prior to capture.
3049,Lox_Marsh,29.7,101,195.8,38.4,NA,NA,21,M,None
3050,Lox_Marsh,19.7,70,137.6,26.7,NA,NA,7.3,M,None
3051,Lox_Marsh,21.5,77.5,151.5,27.5,NA,NA,8.5,M,None
3052,BICY_Marsh,28.5,107.5,213.2,44.1,NA,NA,28,F,Hole in left rear webbing.
3053,BICY_Marsh,25.5,92.3,185.1,38.3,NA,NA,18,F,None
3054,BICY_Marsh,30.5,111.7,217.9,43,NA,NA,28,M,None
3055,BICY_Marsh,31.9,114.2,177.6,43.6,NA,NA,31,M,Incomplete tail
3056,BICY_Marsh,25.3,92.7,190.4,36.3,NA,NA,16.8,F,None
3057,BICY_Marsh,24.2,90.9,181,34.8,NA,NA,15.4,M,None
3058,BICY_Marsh,27.5,102.5,201.4,39.3,NA,NA,22,F,None
3059,BICY_Marsh,31.2,111.2,202.7,40.9,NA,NA,29,F,Left back foot has 3 toes. 13 singles on tail. Doubles and singles shredded.
3060,BICY_Marsh,43.5,152,297,64.5,NA,NA,94.5,M,None
3061,BICY_Marsh,27.7,103.1,202.6,38.9,NA,NA,23,F,None
3062,BICY_Marsh,31,114.2,222.3,45.5,NA,NA,30,M,None
3063,BICY_Marsh,21,75.6,148.4,27.6,NA,NA,8.2,M,None
3064,BICY_Marsh,40,144.4,279.5,41,NA,NA,47.5,M,Broken jaw
3065,BICY_Marsh,26.6,98.5,197.9,38.9,NA,NA,21,F,None
3066,BICY_Marsh,41.7,151,296.6,55.4,NA,NA,71,M,2nd single scute cut/missing. Left eye injured not functional.
3067,BICY_Marsh,24.8,91.5,182.5,33.6,NA,NA,14.6,F,None
3068,BICY_Marsh,45.6,158.8,309.5,73.2,NA,NA,119,M,None
3069,ENP-SS,25.4,93.2,188.6,31.4,NA,NA,14.6,F,None
3070,ENP-SS,27.1,100.8,198,32.2,NA,NA,17.4,F,None
3071,ENP-SS,29.4,105.9,202.5,44.8,NA,NA,27.5,F,Incomplete tail
3072,ENP-SS,26.2,96.1,189.6,37.5,NA,NA,18.8,F,None
3073,ENP-SS,34.5,125.4,224.6,48.4,NA,NA,37,M,Incomplete tail
3074,ENP-SS,30,108,214.7,39.3,NA,NA,25,F,None
3075,ENP-SS,27.4,98.6,199.9,37.1,NA,NA,19,F,None
3076,ENP-SS,28.5,104.1,205,40.6,NA,NA,23.5,F,None
3077,ENP-SS,28.5,106.5,214.4,38.4,NA,NA,25,F,None
3078,ENP-SS,27,103.4,205.4,40.9,NA,NA,24,F,None
3079,ENP-SS,35,124.5,243.6,50.6,NA,NA,40.5,M,None
3080,ENP-SS,26.5,100.1,193.7,37.9,NA,NA,19,F,Incomplete tail
3081,ENP-SS,24,89.6,178,33.8,NA,NA,15,F,None
3082,ENP-EST,31.8,112.8,242.2,50.1,NA,NA,48,M,None
3083,ENP-EST,26,95.1,183.6,35.4,NA,NA,19,M,"Right rear foot missing, looks like old wound or maldeveoloped.  4 toes"
3084,ENP-EST,23.8,85.3,171,35.2,NA,NA,14.5,M,None
3085,ENP-EST,35.7,131.9,246.3,33.8,NA,NA,32,M,Severely skinny. Right Rear foot hole in webbing (no tag though)
3086,ENP-EST,36,131,259.2,54.7,NA,NA,55,M,15th single scute missing.
3087,ENP-EST,37.1,131.9,260,57,NA,NA,68,M,None
3088,ENP-EST,23.7,90.4,178.9,36.9,NA,NA,16,M,16th single cut
3089,ENP-EST,24.5,88,179.4,34,NA,NA,16,M,None
3090,ENP-EST,28.8,101.9,208.7,45.1,NA,NA,33,M,Hole in right rear foot middle webbing
3091,ENP-EST,35.5,128.1,247.2,47.5,NA,NA,44,M,Fresh bite marks on tail
3092,ENP-EST,25.8,98.1,193.2,29.9,NA,NA,15.8,F,"scutes rotting, tail rotting, kink in tail, emaciated. Hole in webbing where old tag could've been."
3093,ENP-EST,35.6,128.9,257.5,39.9,NA,NA,40.5,M,None
3094,ENP-EST,27.4,94.9,187.4,35.2,NA,NA,17.6,M,None
3095,ENP-EST,26.9,95.4,191.6,40.6,NA,NA,21,M,None
3096,ENP-EST,27.5,101.4,204.6,39.9,NA,NA,22,M,Snaggle tooth
3097,ENP-EST,35.9,126.8,255,50,NA,NA,48,M,None
3098,ENP-EST,26.9,100.1,198.8,39.9,NA,NA,23.5,M,Hole in webbing right rear foot from old tag location
3099,ENP-EST,31.2,114.4,228.2,45.3,NA,NA,38.5,M,None
3100,ENP-EST,28,101.5,199.7,38.3,NA,NA,23,M,None
3101,WCA3A-HD_Marsh,32.3,119.6,234.5,47,NA,NA,35,M,None
3102,WCA3A-HD_Marsh,21.1,74.9,147.3,27.2,NA,NA,8.25,M,None
3103,WCA3A-HD_Marsh,18.4,67.5,134.1,26.2,NA,NA,7,F,None
3104,WCA3A-HD_Marsh,32,111,221,42.5,NA,NA,32,F,Broken jaw
3105,WCA3A-HD_Marsh,24,88,174.8,33.8,NA,NA,13.2,F,None
3106,WCA3A-HD_Marsh,30.6,113.5,219.4,46.6,NA,NA,33,F,Broken jaw
3107,ENP-EST,30.4,111.5,218.8,49.4,NA,NA,35,F,None
3108,ENP-EST,28.6,100.7,206.3,40,NA,NA,21,M,None
3109,ENP-EST,34,121.7,224.2,49.4,NA,NA,42,M,None
3110,ENP-EST,25,94,181.4,37.6,NA,NA,19.6,F,None
3111,ENP-EST,35.5,128,246.8,34.2,NA,NA,35.5,M,None
3112,ENP-EST,28.1,100.4,196.2,38.1,NA,NA,20.5,M,Missing rear left foot (healed)
3113,ENP-EST,35.1,123.6,249.5,47.3,NA,NA,40,M,None
3114,ENP-EST,34.5,126.6,243.5,37.9,NA,NA,32.5,M,None
3115,ENP-EST,25.3,90,182.6,40.5,NA,NA,18.5,M,None
3116,ENP-EST,27.5,100.2,199.2,41,NA,NA,24,M,None
3117,ENP-EST,31.1,109.4,222.5,46.1,NA,NA,33,M,None
3118,ENP-EST,35.7,131.2,253.7,41.1,NA,NA,45,M,Broken toe on (rt) rear foot.
3119,ENP-EST,25.4,91.5,180.2,32.1,NA,NA,15,F,None
3120,ENP-EST,28.1,99.9,180.8,31.8,NA,NA,18,F,Incomplete tail
3121,ENP-EST,33,121.1,241.4,50.3,NA,NA,41,M,None
3122,ENP-EST,38.1,138.8,274.9,55,NA,NA,70,M,None
3123,ENP-EST,25.2,89.2,175.4,36.6,NA,NA,15.5,M,None
3124,Lox_Marsh,42.5,154.1,282.3,63.2,NA,NA,82,M,Incomplete tail
3125,Lox_Marsh,29.6,105,208.2,36.5,NA,NA,24,F,None
3126,Lox_Marsh,22.1,80.1,162.3,33.7,NA,NA,12.2,F,None
3127,Lox_Marsh,25.4,94.4,183.2,36.2,NA,NA,17.8,M,Single 6 scute has a hole in it.
3128,Lox_Marsh,30.4,109.1,221.2,46.6,NA,NA,30.5,M,None
3129,Lox_Marsh,30.6,108.5,213,40.4,NA,NA,27,F,None
3130,Lox_Marsh,24.2,87,154.5,34.5,NA,NA,13,M,Incomplete tail
3131,Lox_Marsh,18.6,68.9,135.9,25.4,NA,NA,6.4,F,None
3132,Lox_Marsh,33.8,121.3,236.9,38.5,NA,NA,31,M,None
3133,Lox_Marsh,24.5,89.7,179.4,36.3,NA,NA,17,F,None
3134,Lox_Marsh,26.5,100.9,205.1,39.5,NA,NA,21.5,F,None
3135,Lox_Marsh,30.6,112.6,228.8,36.4,NA,NA,25.5,F,None
3136,Lox_Marsh,24,85.2,167.3,34.8,NA,NA,12.6,F,None
3137,Lox_Marsh,25.4,92.6,183.4,36.6,NA,NA,16.4,F,None
3138,Lox_Marsh,30.1,108.9,214,38.3,NA,NA,25.5,F,Damage to Double Right scute 10.
3139,Lox_Marsh,25,90.2,178.6,33.9,NA,NA,14.6,F,None
3140,Lox_L40,31,110.6,218.7,37.8,NA,NA,23.5,M,Single 1 is fused
3141,Lox_L40,26.7,95.7,192.3,38.5,NA,NA,17.2,M,None
3142,Lox_L40,29.6,100.5,202,41.6,NA,NA,22.5,F,None
3143,Lox_L40,26.9,98.6,196.5,38.9,NA,NA,19.5,M,"Bite marks on head, back, tail"
3144,Lox_L40,25.9,94.8,188.2,35.1,NA,NA,16,F,Bite mark on tail
3145,Lox_L40,27,94.5,192.9,41.3,NA,NA,20,F,Missing front left leg
3146,Lox_L40,25.6,90.2,181,37.3,NA,NA,16.5,F,None
3147,Lox_L40,23.3,84.1,166.8,35.6,NA,NA,NA,M,None
3148,Lox_L40,37.3,131.7,256.1,56.4,NA,NA,56.25,M,None
3149,Lox_L40,28.9,106.4,205.3,41.2,NA,NA,24,M,None
3150,Lox_L40,29.5,104.9,205.9,43,NA,NA,25,M,None
3151,Lox_L40,25.7,91.8,185.3,40.5,NA,NA,19.8,F,None
3152,Lox_L40,26.7,92.9,184.7,40.2,NA,NA,20,M,None
3153,Lox_L40,17.7,61.7,125.2,24.9,NA,NA,5,F,None
3154,Lox_L40,29.9,101.7,199.4,34.8,NA,NA,20,F,None
3155,WCA3A-HD_Canal,25,91.1,182.6,35.2,NA,NA,15.8,F,None
3156,WCA3A-HD_Canal,25.2,92,179.2,35.3,NA,NA,15.2,M,None
3157,WCA3A-HD_Canal,26.8,95.8,190.1,39.5,NA,NA,17,M,None
3158,WCA3A-HD_Canal,20.6,73.5,150.3,31.2,NA,NA,9.6,F,ND
3159,WCA3A-HD_Canal,23.9,86.2,180.5,36.4,NA,NA,14.2,F,None
3160,WCA3A-HD_Canal,25.5,87.3,177.1,37.3,NA,NA,15.8,F,None
3161,WCA3A-HD_Canal,34.5,120.5,241.3,53,NA,NA,49,M,None
3162,WCA3A-HD_Canal,25.4,90.5,177.8,38.8,NA,NA,17.2,M,None
3163,WCA3A-HD_Canal,27.8,99.7,200.2,40.5,NA,NA,23,F,None
3164,WCA3A-HD_Canal,29.7,106.7,206,42.4,NA,NA,25.5,F,None
3165,WCA3A-HD_Canal,36.2,132.9,260.5,56.1,NA,NA,55,M,None
3166,WCA3A-HD_Canal,19.2,69.3,138.8,27.9,NA,NA,6.8,F,None
3167,WCA3A-HD_Canal,30.9,115,230,44.7,NA,NA,36,F,None
3168,WCA3A-HD_Canal,17.9,63,125.8,24.3,NA,NA,4.8,F,None
3169,WCA3A-HD_Canal,25.5,89.8,182.6,37.5,NA,NA,15.8,M,None
3170,Lox_L40,40.8,150.3,293.2,62.5,NA,NA,77,M,First single scute slight split down middle.
3171,ENP-EST,25.5,96,187.2,37.9,NA,NA,20,M,None
3172,ENP-FC,28.5,104.5,206,39.8,NA,NA,25.5,F,NA
3173,ENP-SS,27.8,103.3,204.4,33.9,NA,NA,22,F,NA
3174,ENP-SS,27.5,102.2,197.9,44.6,NA,NA,27,F,NA
3175,ENP-SS,30.1,114,223,NA,50.8,NA,40,F,NA
3176,ENP-SS,27.6,100.3,183.9,36.3,NA,NA,33,F,NA
3177,ENP-SS,32.4,120.7,237.1,43.2,NA,NA,40,F,NA
3178,ENP-SS,28.8,111.6,220,45.6,NA,NA,37,F,NA
3179,ENP-SS,27.6,106.2,195.2,48.4,NA,NA,34,F,Incomplete tail
3180,ENP-SS,26.8,101.2,194.8,40.9,NA,NA,23,F,NA
3181,ENP-SS,27.5,103,192,38,NA,NA,22.5,F,NA
3182,ENP-SS,31.7,123.4,236.2,49.3,NA,NA,51,F,NA
3183,ENP-SS,27.6,102.6,200.5,35.5,NA,NA,22,F,NA
3184,Lox_Marsh,26,89,191.5,37.5,NA,NA,19,M,None
3185,Lox_Marsh,19.5,64.1,138.5,25.7,NA,NA,7.1,F,None
3186,Lox_Marsh,25.2,85.2,183.5,30.8,NA,NA,14.5,M,"4th single scute damaged, only a small piece left."
3187,Lox_Marsh,27.4,91.2,190,34.8,NA,NA,20.5,M,None
3188,Lox_Marsh,16,52.7,113.1,20.9,NA,NA,3.9,M,None
3189,Lox_Marsh,28.5,96.1,202,35.5,NA,NA,19.5,M,None
3190,Lox_Marsh,22.5,75.4,162.2,30.6,NA,NA,11.5,F,None
3191,Lox_Marsh,19.3,64.6,135.7,24,NA,NA,6,M,None
3192,Lox_Marsh,26,87,187.7,35.4,NA,NA,16,M,None
3193,Lox_Marsh,21,71.5,154.2,30.5,NA,NA,9.9,F,None
3194,Lox_Marsh,19.2,64,138.9,26.5,NA,NA,7,F,None
3195,Lox_Marsh,35.2,120.1,252,40.6,NA,NA,37.5,M,4th single scute damaged.
3196,Lox_Marsh,26.2,89.2,187.1,32.5,NA,NA,16,F,9th single scute shredded
3197,Lox_Marsh,28.1,96,197.1,32.4,NA,NA,20.5,F,Growth on uppper right lip (small).  Hole in 11th single scute
3198,Lox_Marsh,19.5,56.5,139.8,26.1,NA,NA,7.7,M,None
3199,Lox_Marsh,22.5,76.8,156.3,32,NA,NA,12.5,M,None
3200,ENP-EST,34.6,121,235.7,47.1,NA,NA,40,M,"Growth on side, bite marks on head."
3201,ENP-EST,26.2,92,179.5,34.8,NA,NA,15.4,M,None
3202,ENP-EST,19.8,70.9,143.3,28.4,NA,NA,7.8,F,None
3203,ENP-EST,29.3,102.1,202,36.9,NA,NA,20.5,M,ND
3204,ENP-EST,24.1,83.1,163.4,30.7,NA,NA,12.6,F,ND
3205,BICY_Marsh,37.8,138.1,283.4,58.3,NA,NA,65,M,Missing 2nd and 3rd double
3206,BICY_Marsh,29.6,107.7,212.6,37.3,NA,NA,21.5,M,None
3207,BICY_Marsh,29.4,110.5,217.2,42.7,NA,NA,25.5,M,None
3208,BICY_Marsh,33.7,125.4,233.9,50.4,NA,NA,43,M,Incomplete tail
3209,BICY_Marsh,29.9,108.6,192.5,42.1,NA,NA,28,F,Incomplete tail
3210,BICY_Marsh,28.5,107.8,215.9,42.2,NA,NA,26,M,ND
3211,BICY_Marsh,28.5,109.2,216.9,42,NA,NA,25,M,ND
3212,BICY_Marsh,25.3,92.8,191.1,38.4,NA,NA,17,F,"Bites on tail, mouth banged up."
3213,BICY_Marsh,24.6,92.3,188.1,37.3,NA,NA,17.5,F,None
3214,BICY_Marsh,33.1,121.9,240.6,48.5,NA,NA,39,M,None
3215,BICY_Marsh,28.4,100.1,199.9,39.8,NA,NA,21.5,F,None
3216,BICY_Marsh,29.6,107.2,217.8,42.8,NA,NA,36.5,M,None
3217,ENP-EST,27.4,93.2,193.8,35.8,NA,NA,22.5,F,ND
3218,ENP-EST,33,118.2,245,49.2,NA,NA,NA,M,ND
3219,ENP-EST,23.8,81,180,32.4,NA,NA,15,F,ND
3220,BICY_Marsh,26.2,98.8,196.4,39,NA,NA,20.5,M,ND
3221,BICY_Marsh,27.2,99.1,196.4,39,NA,NA,21,M,None
3222,BICY_Marsh,27.6,104.3,207.1,39,NA,NA,22,F,None
3223,BICY_Marsh,31.8,113,222,42.9,NA,NA,30,M,None
3224,ENP-SS,28.6,105.8,211.2,39.5,NA,NA,23,F,None
3225,ENP-SS,24.6,88.7,175.9,35.9,NA,NA,15,F,None
3226,ENP-SS,29.6,107.6,208.8,41,NA,NA,24,M,Malformed osteoderm on upper left back near arm.
3227,ENP-SS,27.4,100.2,204.2,37.1,NA,NA,20,F,None
3228,ENP-SS,33.3,122.5,246.6,51.3,NA,NA,45,M,None
3229,ENP-SS,28.5,103.2,182.6,35.8,NA,NA,20,F,Incomplete tail
3230,ENP-SS,32,118,225.9,47.9,NA,NA,35,M,None
3231,ENP-SS,27,98.6,195.4,39.5,NA,NA,21.5,F,None
3232,ENP-EST,29.4,105.3,211.4,45.5,NA,NA,34,M,None
3233,ENP-EST,34.1,125.2,244,50,NA,NA,46,M,None
3234,ENP-EST,30.2,111.6,221.1,40.4,NA,NA,27,F,None
3235,ENP-EST,36,124.2,239.2,49.9,NA,NA,49.5,M,None
3236,ENP-EST,34.5,123.7,235.4,43.9,NA,NA,38,M,Spine is raised
3237,ENP-EST,25.3,92.7,186,38.2,NA,NA,19.6,M,None
3238,ENP-EST,30.7,112.5,216.6,41,NA,NA,28,M,None
3239,ENP-EST,28.9,103.2,201.6,39.5,NA,NA,25.5,M,ND
3240,ENP-SS,26.7,96.5,192.2,36.2,NA,NA,17.5,F,None
3241,ENP-SS,27.6,103.3,202.8,40.4,NA,NA,23.5,F,None
3242,ENP-SS,39,138.5,274,50.5,NA,NA,56,M,None
3243,ENP-SS,26.1,94.8,186.9,33.7,NA,NA,15,F,None
3244,ENP-SS,28.6,105.3,206.4,40.4,NA,NA,24.5,F,None
3245,ENP-SS,25.6,91.4,178.3,35,NA,NA,16,M,None
3246,ENP-SS,28,97.7,195.5,33.2,NA,NA,18,F,None
3247,ENP-EST,35.9,126.3,245.4,48.9,NA,NA,45,M,None
3248,ENP-EST,37.1,131.1,250,46.3,NA,NA,48,M,None
3249,ENP-EST,30.4,109.8,216.9,45.5,NA,NA,36,M,None
3250,WCA3A-TW_Marsh,38.1,133.5,266.2,53,NA,NA,53,M,None
3251,WCA3A-TW_Marsh,28,102.5,197.5,43.2,NA,NA,28.5,F,None
3252,WCA3A-TW_Marsh,31.4,110.1,219.2,41.8,NA,NA,29,F,None
3253,WCA3A-TW_Marsh,26.9,96,190.1,34.3,NA,NA,16.4,F,None
3254,WCA3A-TW_Marsh,32.1,112.8,221.4,44.1,NA,NA,35,M,Missing front left foot
3255,WCA3A-TW_Marsh,31.6,111.6,218.6,47.2,NA,NA,34.5,F,None
3256,WCA3A-TW_Marsh,28.9,107,183.9,43.7,NA,NA,29,F,Incomplete tail
3257,WCA3A-TW_Marsh,28.6,102.9,205,41.3,NA,NA,21,M,None
3258,WCA3A-TW_Marsh,21.9,77,152.1,31.5,NA,NA,10,M,None
3259,WCA3A-TW_Marsh,29,103.2,199.5,37.8,NA,NA,21.5,F,Missing digit on (left) front arm.
3260,WCA3A-TW_Marsh,27.5,101.5,196.9,39.6,NA,NA,21,F,Missing nails on 2 digits on each foot.
3261,WCA3A-TW_Marsh,32.2,116.1,224.8,44.4,NA,NA,29,M,None
3262,ENP-FC,24.2,88.6,171.5,32.7,NA,NA,13,M,None
3263,ENP-FC,26,94.8,189.2,41,NA,NA,24,F,None
3264,ENP-FC,26.5,97.9,184.1,36.2,NA,NA,18,F,None
3265,ENP-FC,31.5,121.4,226.6,43.5,NA,NA,30.3,M,None
3266,ENP-FC,33.5,123.4,238.2,44.8,NA,NA,42,M,None
3267,ENP-FC,32.8,121.6,234.5,47.4,NA,NA,37,M,None
3268,ENP-FC,27.4,100.4,199.6,31,NA,NA,20,F,None
3269,ENP-FC,27,101.7,201.5,41.3,NA,NA,23.5,M,None
3270,ENP-FC,23.9,89.1,173.8,36.4,NA,NA,15.4,F,ND
3271,ENP-FC,28.5,106.8,205.2,33.5,NA,NA,20,M,None
3272,ENP-FC,19.5,70.9,143.8,25.5,NA,NA,6.2,F,None
3273,ENP-FC,26.8,99.9,195.5,39.8,NA,NA,22,M,None
3274,ENP-FC,37.4,136.7,261.3,51.4,NA,NA,54,M,None
3275,ENP-FC,28.4,100.4,194.6,39,NA,NA,20.5,M,None
3276,ENP-FC,27.3,93.1,191.4,41.2,NA,NA,21.5,F,None
3277,WCA3A-TW_Marsh,25,88.5,164.8,32.8,NA,NA,13,M,Incomplete tail
3278,WCA3A-HD_Marsh,31.9,112.7,227.6,44.4,NA,NA,31,F,None
3279,WCA3A-HD_Marsh,18.4,63.7,125.5,22.5,NA,NA,6,F,None
3280,WCA3A-HD_Marsh,30.2,111,225.5,49.3,NA,NA,34.5,F,None
3281,WCA3A-HD_Marsh,35.9,123.6,248,52.4,NA,NA,41,M,None
3282,WCA3A-HD_Marsh,25.4,89.9,180.1,35.9,NA,NA,15.4,F,None
3283,WCA3A-HD_Marsh,27,98,190.2,37.7,NA,NA,19.2,F,None
3284,WCA3A-HD_Marsh,26.5,96.6,188.9,39.9,NA,NA,19.6,M,None
3285,WCA3A-HD_Marsh,21.3,76.9,155.4,30.5,NA,NA,10,M,None
3286,WCA3A-HD_Marsh,35,124.4,238,49.8,NA,NA,40.5,M,None
3287,WCA3A-HD_Marsh,23,83.2,164.5,33.8,NA,NA,11.8,M,Missing front right foot
3288,WCA3A-HD_Marsh,31.3,117.6,230.3,47.6,NA,NA,35,F,None
3289,WCA3A-HD_Marsh,26.9,94.9,190.2,40.6,NA,NA,20,F,None
3290,WCA3A-HD_Marsh,27.5,97.9,197.1,38.6,NA,NA,20,F,None
3291,WCA3A-HD_Marsh,19.9,69.4,138.6,25.4,NA,NA,6.2,F,None
3292,WCA3A-HD_Marsh,44.2,151,310.8,63.4,NA,NA,90,M,None
3293,WCA3A-TW_Marsh,42.5,148.6,293.8,61.1,NA,NA,82,M,None
3294,WCA3A-TW_Marsh,28.2,101.2,174.6,39.4,NA,NA,22,M,Incomplete tail
3295,WCA3A-TW_Marsh,27.6,96.2,188,39.3,NA,NA,19,F,None
3296,WCA3A-TW_Marsh,26.6,96.1,189.9,36,NA,NA,19.4,F,Deformed lower jaw.
3297,WCA3B_Marsh,45.1,163.3,308.4,76.4,NA,NA,134,M,Incomplete tail
3298,WCA3B_Marsh,18.8,64.8,125.9,26.4,NA,NA,5.6,F,None
3299,WCA3B_Marsh,25.9,89.9,185.8,32.9,NA,NA,14.2,F,None
3300,WCA3B_Marsh,20.6,72.4,142.9,29.4,NA,NA,7.8,F,None
3301,WCA3B_Marsh,28.7,106.1,204.5,37.4,NA,NA,21.5,M,None
3302,WCA3B_Marsh,19.2,69.8,139.8,26.2,NA,NA,6.6,F,None
3303,WCA3B_Marsh,28,100.9,193.9,31.2,NA,NA,16.2,M,None
3304,WCA3B_Marsh,31.3,108.8,215,40.5,NA,NA,26,M,None
3305,WCA3B_Marsh,18.1,64.2,126.2,24.5,NA,NA,5.3,M,Bad right eye
3306,WCA3B_Marsh,34.3,119,228.2,42.1,NA,NA,32,M,Missing front left arm at shoulder
3307,WCA3B_Marsh,25,90.6,181.1,35.2,NA,NA,16,F,None
3308,WCA3B_Marsh,25.4,93.9,184.4,36.9,NA,NA,16.4,F,None
3309,WCA3B_Marsh,33.4,119.4,237.1,36.5,NA,NA,32,M,None
3310,WCA3B_Marsh,18.9,67.2,133.7,26.3,NA,NA,6.5,F,None
3311,WCA3B_Marsh,24.5,84.8,172.9,32.5,NA,NA,12.5,F,None
3312,WCA2A_Marsh,25.3,89.5,180.1,36,NA,NA,14.8,F,None
3313,WCA2A_Marsh,28.5,103.5,204,39,NA,NA,23,F,None
3314,WCA2A_Marsh,29.8,112,212,42,NA,NA,25.5,M,None
3315,WCA2A_Marsh,32.2,117,226,46,NA,NA,31,M,None
3316,WCA2A_Marsh,26.5,95.9,180,40.5,NA,NA,19,F,Incomplete tail
3317,WCA2A_Marsh,35.1,125.4,239.5,49.8,NA,NA,44,M,Missing front 3 fingers.
3318,WCA2A_Marsh,32.7,118.1,231.5,47.5,NA,NA,34,M,None
3319,WCA2A_Marsh,24.8,91.5,182.7,37.8,NA,NA,16.5,F,None
3320,WCA2A_Marsh,28.9,107.2,210,40.2,NA,NA,23,M,None
3321,WCA2A_Marsh,28.3,99.4,198.4,37.6,NA,NA,21,M,None
3322,WCA2A_Marsh,36.4,130,252.9,50,NA,NA,50.5,M,None
3323,WCA2A_Marsh,38.3,131.8,264.3,54.4,NA,NA,44,M,None
3324,WCA2A_Marsh,23.9,84.6,171.3,33.4,NA,NA,12.8,F,None
3325,WCA2A_Marsh,29.6,103.2,183.5,39,NA,NA,22,M,Incomplete tail
3326,WCA2A_Marsh,34.1,119,227.2,47.9,NA,NA,33.5,M,None
3327,WCA2A_Marsh,27,97.6,193.5,36.9,NA,NA,18.8,F,ND
3328,WCA3A-N41_Marsh,23.5,85,171,35.3,NA,NA,13.8,F,None
3329,WCA3A-N41_Marsh,26.7,98.2,199.1,38.3,NA,NA,23.5,F,None
3330,WCA3A-N41_Marsh,25.3,87.8,174.5,37,NA,NA,14.8,M,None
3331,WCA3A-N41_Marsh,31,110.9,218.1,44.2,NA,NA,26,M,None
3332,WCA3A-N41_Marsh,17.8,63.2,130.6,25.7,NA,NA,5.6,F,None
3333,WCA3A-N41_Marsh,17.8,63,128.6,22,NA,NA,4.5,F,None
3334,WCA3A-N41_Marsh,28.8,104.4,204.6,41.5,NA,NA,25.5,M,ND
3335,WCA3A-N41_Marsh,27,97.2,190.4,35,NA,NA,20.5,F,None
3336,WCA3A-N41_Marsh,21.9,78,160.1,32,NA,NA,11,F,None
3337,WCA3A-N41_Marsh,28.4,102.2,204.4,39.8,NA,NA,23.5,F,None
3338,WCA3A-N41_Marsh,25,93.8,181,37,NA,NA,17.5,F,None
3339,WCA3A-N41_Marsh,25,89.7,180.9,32.6,NA,NA,13.4,F,None
3340,WCA3A-N41_Marsh,28.7,104.2,202.4,38.9,NA,NA,24,F,None
3341,WCA3A-N41_Marsh,19.3,68.2,138,24.8,NA,NA,6.2,F,None
3342,WCA3A-N41_Marsh,26.7,96.4,182.7,35.4,NA,NA,15.4,M,None
3343,WCA3A-N41_Marsh,32.4,118.4,224.4,43,NA,NA,35.4,M,None
3344,WCA3A-N41_Marsh,25.9,92.8,178.4,35.2,NA,NA,16.3,F,None
3345,BICY_Marsh,27.4,102.6,203.6,41.4,NA,NA,22,M,None
3346,BICY_Marsh,32.2,120.3,238.1,48.8,NA,NA,40.5,M,None
3347,BICY_Marsh,24.4,91.5,179.8,37.7,NA,NA,16.2,M,None
3348,BICY_Marsh,32.4,115.1,227.1,46.4,NA,NA,33,M,None
3349,BICY_Marsh,25,91.5,159,38.2,NA,NA,16.4,F,Incomplete tail
3350,BICY_Marsh,25.9,98.9,196.5,41.2,NA,NA,20,F,None
3351,BICY_Marsh,26.7,96.9,194.3,36.9,NA,NA,17.5,F,None
3352,BICY_Marsh,29.5,103.2,201.8,39.4,NA,NA,22,M,None
3353,BICY_Marsh,27.2,101.2,200.2,39,NA,NA,20,F,None
3354,BICY_Marsh,30.7,108.6,210.2,39.7,NA,NA,24,M,None
3355,BICY_Marsh,25.2,89.3,176.2,35.8,NA,NA,15,M,None
3356,BICY_Marsh,26.8,96.9,199.4,39.9,NA,NA,22,F,None
3357,BICY_Marsh,29.5,104.7,206.2,38.8,NA,NA,24,M,None
3358,BICY_Marsh,32.2,117.8,234,43.4,NA,NA,33,M,None
3359,BICY_Marsh,20.5,71.1,139.7,26.4,NA,NA,7,F,None
3360,BICY_Marsh,24.7,92.4,181.7,34,NA,NA,16.5,F,None
3361,BICY_Marsh,29.7,106.9,214,42.5,NA,NA,27,M,None
3362,BICY_Marsh,28,100.5,199.8,37.6,NA,NA,20,M,None
3363,Lox_Marsh,31,109.1,214.5,40.9,NA,NA,28,M,None
3364,Lox_Marsh,29,102,212,37.5,NA,NA,22.5,F,Incomplete tail
3365,Lox_Marsh,29.5,106.5,209.5,37.5,NA,NA,25,M,None
