,Route,Head.Length,SV.length,Total.Length,Tail.Girth,Neck.Girth,Chest.Girth,Weight,Sex,Deformities_Notes
123,WCA3A-TW_Marsh,15.9,58.6,118.4,23.5,21.3,25.6,4.2,F,None
124,WCA3A-TW_Marsh,21,78.5,152,32.1,30.9,36.5,11,M,None
125,Lox_Marsh,21.8,82,164.5,30.9,29,35.1,10.2,M,None
126,Lox_Marsh,22.2,81.2,157.9,33.5,30.8,39.7,11.4,F,None
127,Lox_Marsh,33.8,127.7,244.7,48.4,51,51.4,42.8,F,None
128,Lox_Marsh,17.7,64.7,132.7,24,25,27.5,4.8,M,None
129,Lox_Marsh,14.3,53.3,108.5,20.9,19.8,22.7,2.8,M,None
130,Lox_Marsh,28.7,110.6,210.4,43.3,46.5,52.8,27,M,None
131,Lox_Marsh,30,110.9,223.1,46.6,43.8,55.4,31.5,F,None
132,Lox_Marsh,24,87,170.9,36.1,32.7,42.9,14,M,None
133,Lox_Marsh,25.9,100.3,190.8,39.1,30.9,39.5,21,F,None
134,Lox_Marsh,22.8,88.53,174.9,34.2,32.8,41,14,M,None
135,ENP-EST,24.5,89,178,34,32.5,39,14.5,M,None
136,ENP-EST,18.6,67.1,135.5,23.9,25,31,6.5,M,None
137,ENP-FC,26,94,181,36,36,45,22,F,None
138,ENP-SS,25,94.5,190,36,37,44,22,F,None
139,ENP-SS,25,90,180,36,32,40,20,M,None
140,ENP-SS,23.5,85.5,178,38,33,41,20,F,None
141,ENP-SS,30,112,223,36.5,36,48,31,M,None
142,ENP-SS,20,73,147,28,27,32,12,M,None
143,WCA2A_Marsh,32,114.6,232.4,48,48,58.1,33.5,M,None
144,WCA2A_Marsh,29.6,107,206.1,30.8,32.9,41.2,20.5,F,None
145,WCA2A_Marsh,29.3,109.1,212.5,39,42.2,54.1,24.5,F,None
146,WCA2A_Marsh,34,125.5,249,51.1,51.5,56.6,41.5,M,None
147,WCA3A-N41_Marsh,22.1,85.2,162.1,33.6,29.7,38.2,12.25,F,None
148,WCA3A-N41_Marsh,26.3,94.5,187,40.5,39,50,19.5,M,None
149,WCA3A-N41_Marsh,23,85.7,169.4,33.6,33.1,39.6,14,M,None
150,ENP-FC,23.5,87,176,34,30,39.5,18.5,F,None
151,Lox_Marsh,24,87.5,178.8,34.5,34.5,40.5,15.5,M,None
152,Lox_Marsh,22.5,80,157.5,32.4,32,39,11.4,F,None
153,Lox_Marsh,16.3,55.4,111.6,18.9,18.4,23.2,2.9,M,None
154,Lox_Marsh,18.4,65.3,132.5,25.5,25,31,6,F,None
155,Lox_Marsh,21.3,77,150.5,29,30.5,35.5,10.7,M,None
156,WCA2A_Marsh,14.6,54.9,110,18,17.5,22,3.25,M,None
157,WCA2A_Marsh,28.5,113.1,216.6,41.2,43.5,57,27.5,F,None
158,WCA2A_Marsh,24,89.5,175.2,34,34,39.4,15,M,None
159,WCA2A_Marsh,15.4,54,110,18.5,18.7,22.8,2.9,F,None
160,WCA2A_Marsh,28,102.4,204,41.7,43,50,24,F,None
161,WCA2A_Marsh,28.5,104.5,207,41,41,45,24.5,F,None
162,WCA3A-HD_Marsh,22,80.5,162,31,30.5,37,11,M,None
